V_DC_MAX_V,S_mrad_V,L_um
7.257161747846075741e+02,7.019386213642688688e+01,1.099999999999999858e+02
6.601705442379454780e+02,7.014829393517939593e+01,9.999999999999998579e+01
7.923265650373385824e+02,7.013750051261004614e+01,1.199999999999999858e+02
7.924444664906563958e+02,7.012706531671658183e+01,1.199999999999999858e+02
8.586304080663304603e+02,7.011490396140875703e+01,1.300000000000000000e+02
5.944995472773350684e+02,7.010746069862425145e+01,8.999999999999998579e+01
7.926852124711637089e+02,7.010576706511032796e+01,1.199999999999999858e+02
7.267328410485035874e+02,7.009566410884950471e+01,1.099999999999999858e+02
7.267737877074579274e+02,7.009171489755296136e+01,1.099999999999999858e+02
6.607356568812507476e+02,7.008829764559487785e+01,9.999999999999998579e+01
6.608098488469458971e+02,7.008042853077519396e+01,9.999999999999998579e+01
7.929857124954960454e+02,7.007920065366440099e+01,1.199999999999999858e+02
8.591239090598567145e+02,7.007462831036346529e+01,1.300000000000000000e+02
7.269673898457158430e+02,7.007304844006412736e+01,1.099999999999999858e+02
5.948491125799906740e+02,7.006626178750670420e+01,8.999999999999998579e+01
7.273038940043694538e+02,7.004062750515093683e+01,1.099999999999999858e+02
7.274546884270357623e+02,7.002610875071049179e+01,1.099999999999999858e+02
7.276677447054182721e+02,7.000560557157608343e+01,1.099999999999999858e+02
8.600264101749193060e+02,7.000109285908025925e+01,1.300000000000000000e+02
7.938984135651396628e+02,6.999863447504067437e+01,1.199999999999999858e+02
7.277439443960962535e+02,6.999827551334425380e+01,1.099999999999999858e+02
7.278267727468427211e+02,6.999030954955594552e+01,1.099999999999999858e+02
6.617189087542928974e+02,6.998415304729692821e+01,9.999999999999998579e+01
9.264219123367383872e+02,6.998298666623622921e+01,1.400000000000000000e+02
7.942072933541350039e+02,6.997141089798776648e+01,1.199999999999999858e+02
5.956583469885789555e+02,6.997107294274987055e+01,8.999999999999998579e+01
7.280546940742573270e+02,6.996839871732241534e+01,1.099999999999999858e+02
7.283375017476669200e+02,6.994123054321912036e+01,1.099999999999999858e+02
8.607948565108957837e+02,6.993860168256469478e+01,1.300000000000000000e+02
5.960136869313031411e+02,6.992935659026166206e+01,8.999999999999998579e+01
6.623238142819699306e+02,6.992023597212124741e+01,9.999999999999998579e+01
6.623434048737406101e+02,6.991816789264863985e+01,9.999999999999998579e+01
5.961344286925884717e+02,6.991519301695693400e+01,8.999999999999998579e+01
7.286831482765832106e+02,6.990805433539466662e+01,1.099999999999999858e+02
5.962011865514069768e+02,6.990736447067091319e+01,8.999999999999998579e+01
7.289459949413019331e+02,6.988284657096966157e+01,1.099999999999999858e+02
7.289957834700155672e+02,6.987807375308513258e+01,1.099999999999999858e+02
6.627993700010798648e+02,6.987006850123484014e+01,9.999999999999998579e+01
7.956165138777571428e+02,6.984747537555416841e+01,1.199999999999999858e+02
8.619265021396187194e+02,6.984677748099227301e+01,1.300000000000000000e+02
6.630790289264872399e+02,6.984060023663472805e+01,9.999999999999998579e+01
8.620194514045804226e+02,6.983924608872935380e+01,1.300000000000000000e+02
7.294076623249982276e+02,6.983861529591170836e+01,1.099999999999999858e+02
7.957692178174604578e+02,6.983407201132574471e+01,1.199999999999999858e+02
7.958528699605122938e+02,6.982673174781437808e+01,1.199999999999999858e+02
7.958993740235720225e+02,6.982265180147638262e+01,1.199999999999999858e+02
5.969839693413648547e+02,6.981569989572541601e+01,8.999999999999998579e+01
6.633440356083187908e+02,6.981269883897029160e+01,9.999999999999998579e+01
6.636247384022669848e+02,6.978316916883723309e+01,9.999999999999998579e+01
