t_s,uy_mass_m
2.650499999999999644e-04,-7.950652666500597679e-08
2.650999999999999928e-04,-7.952702803736759004e-08
2.651499999999999669e-04,-7.956645931537562833e-08
2.651999999999999952e-04,-7.960856330171211476e-08
2.652499999999999693e-04,-7.965980698815145297e-08
2.652999999999999976e-04,-7.971457664372360596e-08
2.653499999999999717e-04,-7.977279608249195328e-08
2.654000000000000001e-04,-7.983299908077537193e-08
2.654499999999999742e-04,-7.989335214152266766e-08
2.655000000000000025e-04,-7.995242827911338784e-08
2.655499999999999766e-04,-8.000778499735752036e-08
2.656000000000000049e-04,-8.006023083641871528e-08
2.656499999999999790e-04,-8.010510008136964477e-08
2.657000000000000074e-04,-8.014312148991491709e-08
2.657499999999999815e-04,-8.017581808684304980e-08
2.658000000000000098e-04,-8.019539415952192437e-08
2.658499999999999839e-04,-8.020764427010367110e-08
2.659000000000000122e-04,-8.021234009357468740e-08
2.659499999999999863e-04,-8.019645211713876451e-08
2.660000000000000146e-04,-8.017933396580211688e-08
2.660499999999999888e-04,-8.016221581446548248e-08
2.660999999999999629e-04,-8.012700027415273521e-08
2.661499999999999912e-04,-8.008849451809919092e-08
2.661999999999999653e-04,-8.003925218200876599e-08
2.662499999999999936e-04,-7.998779124074233862e-08
2.662999999999999677e-04,-7.993065740778891414e-08
2.663499999999999960e-04,-7.987244241648879089e-08
2.663999999999999702e-04,-7.981285311172920194e-08
2.664499999999999985e-04,-7.975478798913795428e-08
2.664999999999999726e-04,-7.969864868703632289e-08
2.665500000000000009e-04,-7.964627127990919848e-08
2.665999999999999750e-04,-7.960051115043028420e-08
2.666500000000000033e-04,-7.955912059450831480e-08
2.666999999999999774e-04,-7.952720262164084121e-08
2.667500000000000058e-04,-7.950376108812798293e-08
2.667999999999999799e-04,-7.948633703146125815e-08
2.668500000000000082e-04,-7.948285048587351347e-08
2.668999999999999823e-04,-7.948997321315373724e-08
2.669500000000000106e-04,-7.950798704758824870e-08
2.669999999999999847e-04,-7.952600088202253517e-08
2.670500000000000131e-04,-7.955163208051361671e-08
2.670999999999999872e-04,-7.959047138285443324e-08
2.671499999999999613e-04,-7.963426377336887217e-08
2.671999999999999896e-04,-7.968424694877140436e-08
2.672499999999999637e-04,-7.973881246170463955e-08
2.672999999999999920e-04,-7.979520186993552243e-08
2.673499999999999661e-04,-7.985364067434260889e-08
2.673999999999999945e-04,-7.991125621084567352e-08
2.674499999999999686e-04,-7.996774157130951390e-08
2.674999999999999969e-04,-8.001934091762485762e-08
2.675499999999999710e-04,-8.006743116172531084e-08
2.675999999999999993e-04,-8.010949363396794493e-08
2.676499999999999734e-04,-8.014280826022555144e-08
2.677000000000000018e-04,-8.017062940687984778e-08
2.677499999999999759e-04,-8.018778480991158317e-08
2.678000000000000042e-04,-8.019555586880170658e-08
2.678499999999999783e-04,-8.019630833711353235e-08
2.679000000000000066e-04,-8.017804801411655227e-08
2.679499999999999807e-04,-8.015978769111967808e-08
2.680000000000000090e-04,-8.014152736812273771e-08
2.680499999999999832e-04,-8.010340137620520827e-08
2.681000000000000115e-04,-8.006429966778873930e-08
2.681499999999999856e-04,-8.001493868474803107e-08
2.682000000000000139e-04,-7.996363082237794409e-08
2.682499999999999880e-04,-7.990813946567361234e-08
2.682999999999999621e-04,-7.985156677567410727e-08
2.683499999999999905e-04,-7.979426633636821015e-08
2.683999999999999646e-04,-7.973906205907832141e-08
2.684499999999999929e-04,-7.968647833393413991e-08
2.684999999999999670e-04,-7.963696717725531560e-08
2.685499999999999953e-04,-7.959542286594041792e-08
2.685999999999999694e-04,-7.955864111561639670e-08
2.686499999999999977e-04,-7.952944277415632251e-08
2.686999999999999719e-04,-7.951056795223386427e-08
2.687500000000000002e-04,-7.949773748628427566e-08
2.687999999999999743e-04,-7.949611140472879805e-08
2.688500000000000026e-04,-7.950790600729655634e-08
2.688999999999999767e-04,-7.952680202988965306e-08
2.689500000000000050e-04,-7.954569805248281595e-08
2.689999999999999791e-04,-7.957506706265296349e-08
2.690500000000000075e-04,-7.961367038850858348e-08
2.690999999999999816e-04,-7.965856841673387723e-08
2.691500000000000099e-04,-7.970752212487732753e-08
2.691999999999999840e-04,-7.976150266063325218e-08
2.692500000000000123e-04,-7.981641342459033352e-08
