t_s,uy_mass_m
5.520000000000000004e-05,-1.533516904144151585e-12
5.539999999999999813e-05,-1.545486399710300037e-12
5.559999999999999621e-05,-1.557455895276444652e-12
5.579999999999999430e-05,-1.569425390842591893e-12
5.599999999999999916e-05,-1.592049790243889707e-12
5.619999999999999725e-05,-1.616689630121527371e-12
5.639999999999999533e-05,-1.641329469999156554e-12
5.660000000000000019e-05,-1.665969309876788968e-12
5.679999999999999828e-05,-1.690609149754421180e-12
5.699999999999999636e-05,-1.715248989632060460e-12
5.719999999999999445e-05,-1.739888829509688431e-12
5.739999999999999931e-05,-1.749102571233383766e-12
5.759999999999999739e-05,-1.708292233671132066e-12
5.779999999999999548e-05,-1.667481896108876125e-12
5.800000000000000034e-05,-1.626671558546617558e-12
5.819999999999999843e-05,-1.585861220984354953e-12
5.839999999999999651e-05,-1.545050883422098608e-12
5.859999999999999460e-05,-1.504240545859842667e-12
5.879999999999999946e-05,-1.463430208297584504e-12
5.899999999999999754e-05,-1.465869743787650800e-12
5.919999999999999563e-05,-1.493660780218546939e-12
5.940000000000000049e-05,-1.521451816649439240e-12
5.959999999999999857e-05,-1.549242853080338812e-12
5.979999999999999666e-05,-1.577033889511232931e-12
5.999999999999999474e-05,-1.604824925942134320e-12
6.019999999999999961e-05,-1.632615962373029448e-12
6.039999999999999769e-05,-1.659771462198206850e-12
6.059999999999999578e-05,-1.662354556397485823e-12
6.080000000000000064e-05,-1.664937650596773278e-12
6.099999999999999872e-05,-1.667520744796052857e-12
6.119999999999999681e-05,-1.670103838995332033e-12
6.140000000000000167e-05,-1.672686933194620497e-12
6.159999999999999298e-05,-1.675270027393900480e-12
6.179999999999999784e-05,-1.677853121593183291e-12
6.200000000000000270e-05,-1.667580859912412378e-12
6.219999999999999401e-05,-1.639553888768534217e-12
6.239999999999999887e-05,-1.611526917624658075e-12
6.260000000000000373e-05,-1.583499946480776683e-12
6.279999999999999504e-05,-1.555472975336893070e-12
6.299999999999999990e-05,-1.527446004193020967e-12
6.319999999999999121e-05,-1.499419033049143008e-12
6.339999999999999607e-05,-1.471392061905270905e-12
6.360000000000000093e-05,-1.492203151369780846e-12
6.379999999999999224e-05,-1.524119944532878730e-12
6.399999999999999710e-05,-1.556036737695979036e-12
6.420000000000000197e-05,-1.587953530859082372e-12
6.439999999999999327e-05,-1.619870324022188333e-12
6.459999999999999814e-05,-1.651787117185288437e-12
6.480000000000000300e-05,-1.683703910348391167e-12
6.499999999999999431e-05,-1.706023463065775599e-12
6.519999999999999917e-05,-1.692128084220696268e-12
6.539999999999999048e-05,-1.678232705375616330e-12
6.559999999999999534e-05,-1.664337326530531546e-12
6.580000000000000020e-05,-1.650441947685455849e-12
6.599999999999999151e-05,-1.636546568840366420e-12
6.619999999999999637e-05,-1.622651189995290319e-12
6.640000000000000123e-05,-1.608755811150207554e-12
6.659999999999999254e-05,-1.601218413857771345e-12
6.679999999999999740e-05,-1.597845124984648807e-12
6.700000000000000226e-05,-1.594471836111530511e-12
6.719999999999999357e-05,-1.591098547238411609e-12
6.739999999999999843e-05,-1.587725258365293514e-12
6.760000000000000329e-05,-1.584351969492175622e-12
6.779999999999999460e-05,-1.580978680619052681e-12
6.799999999999999946e-05,-1.577605391745932971e-12
6.819999999999999077e-05,-1.574232102872819319e-12
6.839999999999999563e-05,-1.570858813999692541e-12
6.860000000000000050e-05,-1.567485525126575254e-12
6.879999999999999180e-05,-1.564112236253458169e-12
6.899999999999999667e-05,-1.560738947380339469e-12
6.920000000000000153e-05,-1.557365658507219961e-12
6.939999999999999284e-05,-1.553992369634102068e-12
6.959999999999999770e-05,-1.556028437003571364e-12
6.980000000000000256e-05,-1.566392485468023126e-12
6.999999999999999387e-05,-1.576756533932481755e-12
7.019999999999999873e-05,-1.587120582396934931e-12
7.040000000000000359e-05,-1.597484630861388107e-12
7.059999999999999490e-05,-1.607848679325842091e-12
7.079999999999999976e-05,-1.618212727790301528e-12
7.099999999999999107e-05,-1.628576776254745010e-12
7.119999999999999593e-05,-1.638940824719200206e-12
7.140000000000000079e-05,-1.649304873183653786e-12
7.159999999999999210e-05,-1.659668921648103933e-12
7.179999999999999696e-05,-1.670032970112555493e-12
7.200000000000000182e-05,-1.680397018577015132e-12
7.219999999999999313e-05,-1.690761067041465077e-12
7.239999999999999799e-05,-1.683400174985811082e-12
7.260000000000000286e-05,-1.668598831128107899e-12
7.279999999999999416e-05,-1.653797487270401889e-12
7.299999999999999903e-05,-1.638996143412696687e-12
7.319999999999999033e-05,-1.624194799554993706e-12
7.339999999999999520e-05,-1.609393455697291735e-12
7.360000000000000006e-05,-1.594592111839584918e-12
7.379999999999999137e-05,-1.579790767981879716e-12
7.399999999999999623e-05,-1.564989424124174715e-12
7.420000000000000109e-05,-1.550188080266466686e-12
