t_s,uy_mass_m
3.409999999999999539e-05,-1.437747296687119035e-08
3.419999999999999782e-05,-1.303683918551713742e-08
3.430000000000000025e-05,-1.310991539045876687e-08
3.439999999999999590e-05,-1.446653164740018973e-08
3.449999999999999833e-05,-1.705040584225087439e-08
3.460000000000000076e-05,-2.060516501826088010e-08
3.469999999999999642e-05,-2.477327683951487291e-08
3.479999999999999885e-05,-2.915372943202935377e-08
3.490000000000000128e-05,-3.332299531577416901e-08
3.499999999999999693e-05,-3.688052098522799754e-08
3.509999999999999936e-05,-3.948594995474137290e-08
3.520000000000000180e-05,-4.088701599812112798e-08
3.529999999999999745e-05,-4.091783206464420018e-08
3.539999999999999988e-05,-3.967431575946265074e-08
3.549999999999999553e-05,-3.723034285604296213e-08
3.559999999999999797e-05,-3.380076354401450053e-08
3.570000000000000040e-05,-2.974302347549735145e-08
3.579999999999999605e-05,-2.544521224721257955e-08
3.589999999999999848e-05,-2.132772127806628330e-08
3.600000000000000091e-05,-1.777961905594375217e-08
3.609999999999999657e-05,-1.514486948314899491e-08
3.619999999999999900e-05,-1.368109735182786300e-08
3.630000000000000143e-05,-1.351470134165853419e-08
3.639999999999999708e-05,-1.464012128108822229e-08
3.649999999999999951e-05,-1.698250353621522734e-08
3.659999999999999517e-05,-2.028433139568886495e-08
3.669999999999999760e-05,-2.423366483565340297e-08
3.680000000000000003e-05,-2.844697192756071423e-08
3.689999999999999568e-05,-3.251597998636546123e-08
3.699999999999999811e-05,-3.605120718617636562e-08
3.710000000000000054e-05,-3.871556065774921373e-08
3.719999999999999620e-05,-4.025485554775967884e-08
3.729999999999999863e-05,-4.050619616268848178e-08
3.740000000000000106e-05,-3.947394177056209579e-08
3.749999999999999671e-05,-3.727318952770340186e-08
3.759999999999999915e-05,-3.409717270649043428e-08
3.770000000000000158e-05,-3.025941393986109696e-08
3.779999999999999723e-05,-2.612951481537494227e-08
3.789999999999999966e-05,-2.211293489106564700e-08
3.799999999999999532e-05,-1.859313987696876030e-08
3.809999999999999775e-05,-1.590201489737702236e-08
3.820000000000000018e-05,-1.430949191674622576e-08
3.829999999999999583e-05,-1.397921494061777554e-08
3.839999999999999826e-05,-1.488688454820757901e-08
3.850000000000000069e-05,-1.695655912106859888e-08
3.859999999999999635e-05,-2.001357108233724912e-08
3.869999999999999878e-05,-2.374235401450272818e-08
3.880000000000000121e-05,-2.778746334448918105e-08
3.889999999999999686e-05,-3.175141218854161616e-08
3.899999999999999929e-05,-3.525334109668437486e-08
3.909999999999999495e-05,-3.796108018116361581e-08
3.919999999999999738e-05,-3.961891613602336528e-08
3.929999999999999981e-05,-4.005417289803250762e-08
3.939999999999999546e-05,-3.923924379629643427e-08
3.949999999999999789e-05,-3.728558926490222064e-08
3.960000000000000033e-05,-3.434820485237420775e-08
3.969999999999999598e-05,-3.072779877820805678e-08
3.979999999999999841e-05,-2.676939571802599114e-08
3.990000000000000084e-05,-2.285726338519495800e-08
3.999999999999999650e-05,-1.937783834329408694e-08
4.009999999999999893e-05,-1.664899074827843391e-08
4.020000000000000136e-05,-1.494534208112115499e-08
4.029999999999999701e-05,-1.443291335277142954e-08
4.039999999999999944e-05,-1.511572235958349074e-08
4.049999999999999510e-05,-1.696637730415768506e-08
4.059999999999999753e-05,-1.978347796449980631e-08
4.069999999999999996e-05,-2.329430886252807392e-08
4.079999999999999561e-05,-2.716849114046684837e-08
4.089999999999999804e-05,-3.102239599638900454e-08
4.100000000000000047e-05,-3.448286946522411099e-08
4.109999999999999613e-05,-3.722407714063545216e-08
4.119999999999999856e-05,-3.898238867845435487e-08
4.130000000000000099e-05,-3.956913996553319717e-08
4.139999999999999664e-05,-3.899914438371441223e-08
4.149999999999999907e-05,-3.726162906937193611e-08
4.159999999999999473e-05,-3.456374410850748360e-08
4.169999999999999716e-05,-3.115124170050979284e-08
4.179999999999999959e-05,-2.736730240748270553e-08
4.189999999999999525e-05,-2.357134217490307849e-08
4.199999999999999768e-05,-2.013385817666038231e-08
4.210000000000000011e-05,-1.737889547185177275e-08
4.219999999999999576e-05,-1.556812498597566323e-08
4.229999999999999819e-05,-1.491957409559872961e-08
4.240000000000000062e-05,-1.539398756859404797e-08
4.249999999999999628e-05,-1.701037857767103662e-08
4.259999999999999871e-05,-1.959209310656131829e-08
4.270000000000000114e-05,-2.289331715099509457e-08
4.279999999999999679e-05,-2.659436075680867396e-08
4.289999999999999922e-05,-3.032997007934579609e-08
4.299999999999999488e-05,-3.374541090837005769e-08
4.309999999999999731e-05,-3.650320171185239883e-08
4.319999999999999974e-05,-3.835835906794285897e-08
4.329999999999999539e-05,-3.908069599189857329e-08
4.339999999999999782e-05,-3.870433399591216700e-08
4.350000000000000026e-05,-3.720349127197318040e-08
4.359999999999999591e-05,-3.473492408137969157e-08
4.369999999999999834e-05,-3.153318982938232835e-08
4.380000000000000077e-05,-2.792146431716086744e-08
4.389999999999999643e-05,-2.424606104299850966e-08
4.399999999999999886e-05,-2.085623989014654545e-08
4.410000000000000129e-05,-1.809239537948694432e-08
4.419999999999999694e-05,-1.619886597885731843e-08
4.429999999999999937e-05,-1.537125768373834737e-08
4.439999999999999503e-05,-1.570526017834914063e-08
4.449999999999999746e-05,-1.708357779552108207e-08
4.459999999999999989e-05,-1.944209396822401874e-08
4.469999999999999554e-05,-2.253175388474306272e-08
4.479999999999999797e-05,-2.605779055500554058e-08
4.490000000000000040e-05,-2.967154907506313775e-08
4.499999999999999606e-05,-3.303024322034301500e-08
4.509999999999999849e-05,-3.579992519015174539e-08
4.520000000000000092e-05,-3.772579229384565855e-08
4.529999999999999657e-05,-3.863514096279138794e-08
4.539999999999999900e-05,-3.839656102134302534e-08
4.549999999999999466e-05,-3.712330428686970257e-08
4.559999999999999709e-05,-3.486727927350963535e-08
4.569999999999999952e-05,-3.187948202827490466e-08
4.579999999999999517e-05,-2.843739774191416595e-08
4.589999999999999761e-05,-2.488459564870350206e-08
4.600000000000000004e-05,-2.156211182871870239e-08
4.609999999999999569e-05,-1.878642919164585774e-08
4.619999999999999812e-05,-1.681997466691388188e-08
4.630000000000000055e-05,-1.586221319187921571e-08
4.639999999999999621e-05,-1.601981008894075853e-08
4.649999999999999864e-05,-1.718726658286829800e-08
4.660000000000000107e-05,-1.931818702201334543e-08
4.669999999999999672e-05,-2.220924509771490786e-08
4.679999999999999915e-05,-2.556008749666826374e-08
4.689999999999999481e-05,-2.904923245895917310e-08
4.699999999999999724e-05,-3.234214243453871977e-08
4.709999999999999967e-05,-3.511444506095955058e-08
4.719999999999999532e-05,-3.711229609344735161e-08
4.729999999999999775e-05,-3.813981937790596752e-08
4.740000000000000018e-05,-3.807704835598203995e-08
4.749999999999999584e-05,-3.699025525213075290e-08
4.759999999999999827e-05,-3.496483249674315530e-08
4.770000000000000070e-05,-3.217788268603474877e-08
4.779999999999999635e-05,-2.891354156360023758e-08
4.789999999999999879e-05,-2.548799382660772124e-08
4.800000000000000122e-05,-2.223478378012611971e-08
4.809999999999999687e-05,-1.945853774140619873e-08
4.819999999999999930e-05,-1.743715093511502736e-08
4.829999999999999496e-05,-1.635471629122053040e-08
4.839999999999999739e-05,-1.630320515102057761e-08
4.849999999999999982e-05,-1.731269895867609568e-08
4.859999999999999547e-05,-1.924209123040928068e-08
4.869999999999999790e-05,-2.192751582680555939e-08
4.880000000000000033e-05,-2.510361852774846532e-08
4.889999999999999599e-05,-2.846448210595238090e-08
4.899999999999999842e-05,-3.168159084830171037e-08
4.910000000000000085e-05,-3.445242400174310701e-08
4.919999999999999650e-05,-3.650123912331000809e-08
4.929999999999999893e-05,-3.763744132207267095e-08
4.939999999999999459e-05,-3.776123738644738948e-08
4.949999999999999702e-05,-3.684398497662402222e-08
4.959999999999999945e-05,-3.503606409097477704e-08
4.969999999999999510e-05,-3.244694120838410459e-08
4.979999999999999753e-05,-2.935253258980887488e-08
4.989999999999999997e-05,-2.605722198879245473e-08
4.999999999999999562e-05,-2.287726125004921232e-08
5.009999999999999805e-05,-2.011329540411010268e-08
5.020000000000000048e-05,-1.804346112329244445e-08
5.029999999999999614e-05,-1.684350925985093532e-08
5.039999999999999857e-05,-1.666528230450993395e-08
5.050000000000000100e-05,-1.747552584078917416e-08
5.059999999999999665e-05,-1.918712623843828455e-08
5.069999999999999908e-05,-2.168114090745566106e-08
5.079999999999999474e-05,-2.468824472050069809e-08
5.089999999999999717e-05,-2.791694969733618391e-08
5.099999999999999960e-05,-3.105678425261949867e-08
5.109999999999999525e-05,-3.381119542360237809e-08
